image,image_path,label
00035_00003_00025,data\gtsrb\Train\35\00035_00003_00025.png,35
00035_00033_00028,data\gtsrb\Train\35\00035_00033_00028.png,35
00009_00008_00002,data\gtsrb\Train\9\00009_00008_00002.png,9
00038_00059_00026,data\gtsrb\Train\38\00038_00059_00026.png,38
00033_00005_00002,data\gtsrb\Train\33\00033_00005_00002.png,33
00003_00018_00018,data\gtsrb\Train\3\00003_00018_00018.png,3
00038_00031_00014,data\gtsrb\Train\38\00038_00031_00014.png,38
00004_00061_00029,data\gtsrb\Train\4\00004_00061_00029.png,4
00033_00015_00026,data\gtsrb\Train\33\00033_00015_00026.png,33
00017_00030_00004,data\gtsrb\Train\17\00017_00030_00004.png,17
00036_00001_00015,data\gtsrb\Train\36\00036_00001_00015.png,36
00009_00003_00020,data\gtsrb\Train\9\00009_00003_00020.png,9
00021_00007_00015,data\gtsrb\Train\21\00021_00007_00015.png,21
00005_00016_00019,data\gtsrb\Train\5\00005_00016_00019.png,5
00015_00007_00006,data\gtsrb\Train\15\00015_00007_00006.png,15
00027_00000_00016,data\gtsrb\Train\27\00027_00000_00016.png,27
00037_00003_00029,data\gtsrb\Train\37\00037_00003_00029.png,37
00002_00048_00020,data\gtsrb\Train\2\00002_00048_00020.png,2
00000_00004_00017,data\gtsrb\Train\0\00000_00004_00017.png,0
00005_00028_00010,data\gtsrb\Train\5\00005_00028_00010.png,5
00033_00009_00001,data\gtsrb\Train\33\00033_00009_00001.png,33
00008_00003_00012,data\gtsrb\Train\8\00008_00003_00012.png,8
00033_00017_00007,data\gtsrb\Train\33\00033_00017_00007.png,33
00037_00005_00019,data\gtsrb\Train\37\00037_00005_00019.png,37
00012_00024_00020,data\gtsrb\Train\12\00012_00024_00020.png,12
00004_00016_00023,data\gtsrb\Train\4\00004_00016_00023.png,4
00038_00021_00022,data\gtsrb\Train\38\00038_00021_00022.png,38
00038_00003_00006,data\gtsrb\Train\38\00038_00003_00006.png,38
00008_00034_00002,data\gtsrb\Train\8\00008_00034_00002.png,8
00002_00070_00008,data\gtsrb\Train\2\00002_00070_00008.png,2
00001_00067_00015,data\gtsrb\Train\1\00001_00067_00015.png,1
00017_00031_00028,data\gtsrb\Train\17\00017_00031_00028.png,17
00039_00008_00021,data\gtsrb\Train\39\00039_00008_00021.png,39
00038_00052_00023,data\gtsrb\Train\38\00038_00052_00023.png,38
00017_00009_00002,data\gtsrb\Train\17\00017_00009_00002.png,17
00015_00009_00002,data\gtsrb\Train\15\00015_00009_00002.png,15
00001_00071_00028,data\gtsrb\Train\1\00001_00071_00028.png,1
00004_00021_00012,data\gtsrb\Train\4\00004_00021_00012.png,4
00033_00002_00009,data\gtsrb\Train\33\00033_00002_00009.png,33
00005_00004_00027,data\gtsrb\Train\5\00005_00004_00027.png,5
00039_00002_00029,data\gtsrb\Train\39\00039_00002_00029.png,39
00005_00060_00025,data\gtsrb\Train\5\00005_00060_00025.png,5
00002_00050_00027,data\gtsrb\Train\2\00002_00050_00027.png,2
00011_00005_00028,data\gtsrb\Train\11\00011_00005_00028.png,11
00031_00020_00011,data\gtsrb\Train\31\00031_00020_00011.png,31
00005_00039_00001,data\gtsrb\Train\5\00005_00039_00001.png,5
00009_00013_00021,data\gtsrb\Train\9\00009_00013_00021.png,9
00001_00035_00006,data\gtsrb\Train\1\00001_00035_00006.png,1
00038_00025_00028,data\gtsrb\Train\38\00038_00025_00028.png,38
00008_00018_00015,data\gtsrb\Train\8\00008_00018_00015.png,8
00005_00036_00017,data\gtsrb\Train\5\00005_00036_00017.png,5
00016_00001_00015,data\gtsrb\Train\16\00016_00001_00015.png,16
00012_00002_00015,data\gtsrb\Train\12\00012_00002_00015.png,12
00005_00005_00004,data\gtsrb\Train\5\00005_00005_00004.png,5
00004_00001_00004,data\gtsrb\Train\4\00004_00001_00004.png,4
00027_00005_00018,data\gtsrb\Train\27\00027_00005_00018.png,27
00007_00020_00007,data\gtsrb\Train\7\00007_00020_00007.png,7
00013_00064_00009,data\gtsrb\Train\13\00013_00064_00009.png,13
00026_00006_00019,data\gtsrb\Train\26\00026_00006_00019.png,26
00013_00059_00021,data\gtsrb\Train\13\00013_00059_00021.png,13
00002_00045_00014,data\gtsrb\Train\2\00002_00045_00014.png,2
00007_00024_00011,data\gtsrb\Train\7\00007_00024_00011.png,7
00008_00042_00000,data\gtsrb\Train\8\00008_00042_00000.png,8
00001_00007_00003,data\gtsrb\Train\1\00001_00007_00003.png,1
00038_00015_00024,data\gtsrb\Train\38\00038_00015_00024.png,38
00003_00018_00001,data\gtsrb\Train\3\00003_00018_00001.png,3
00031_00003_00012,data\gtsrb\Train\31\00031_00003_00012.png,31
00022_00003_00000,data\gtsrb\Train\22\00022_00003_00000.png,22
00007_00035_00026,data\gtsrb\Train\7\00007_00035_00026.png,7
00008_00008_00000,data\gtsrb\Train\8\00008_00008_00000.png,8
00013_00008_00005,data\gtsrb\Train\13\00013_00008_00005.png,13
00025_00048_00029,data\gtsrb\Train\25\00025_00048_00029.png,25
00040_00002_00009,data\gtsrb\Train\40\00040_00002_00009.png,40
00038_00051_00008,data\gtsrb\Train\38\00038_00051_00008.png,38
00013_00070_00008,data\gtsrb\Train\13\00013_00070_00008.png,13
00010_00045_00013,data\gtsrb\Train\10\00010_00045_00013.png,10
00008_00039_00016,data\gtsrb\Train\8\00008_00039_00016.png,8
00010_00030_00018,data\gtsrb\Train\10\00010_00030_00018.png,10
00017_00004_00018,data\gtsrb\Train\17\00017_00004_00018.png,17
00023_00010_00003,data\gtsrb\Train\23\00023_00010_00003.png,23
00042_00003_00021,data\gtsrb\Train\42\00042_00003_00021.png,42
00035_00000_00018,data\gtsrb\Train\35\00035_00000_00018.png,35
00035_00023_00028,data\gtsrb\Train\35\00035_00023_00028.png,35
00007_00015_00002,data\gtsrb\Train\7\00007_00015_00002.png,7
00014_00020_00017,data\gtsrb\Train\14\00014_00020_00017.png,14
00040_00008_00010,data\gtsrb\Train\40\00040_00008_00010.png,40
00009_00022_00013,data\gtsrb\Train\9\00009_00022_00013.png,9
00013_00053_00028,data\gtsrb\Train\13\00013_00053_00028.png,13
00020_00004_00029,data\gtsrb\Train\20\00020_00004_00029.png,20
00018_00012_00027,data\gtsrb\Train\18\00018_00012_00027.png,18
00013_00048_00023,data\gtsrb\Train\13\00013_00048_00023.png,13
00025_00008_00004,data\gtsrb\Train\25\00025_00008_00004.png,25
00007_00021_00022,data\gtsrb\Train\7\00007_00021_00022.png,7
00002_00039_00018,data\gtsrb\Train\2\00002_00039_00018.png,2
00013_00032_00029,data\gtsrb\Train\13\00013_00032_00029.png,13
00002_00037_00027,data\gtsrb\Train\2\00002_00037_00027.png,2
00025_00002_00007,data\gtsrb\Train\25\00025_00002_00007.png,25
00029_00001_00007,data\gtsrb\Train\29\00029_00001_00007.png,29
00018_00025_00025,data\gtsrb\Train\18\00018_00025_00025.png,18
00038_00010_00024,data\gtsrb\Train\38\00038_00010_00024.png,38
00013_00058_00004,data\gtsrb\Train\13\00013_00058_00004.png,13
00005_00022_00013,data\gtsrb\Train\5\00005_00022_00013.png,5
00018_00027_00016,data\gtsrb\Train\18\00018_00027_00016.png,18
00031_00016_00006,data\gtsrb\Train\31\00031_00016_00006.png,31
00023_00002_00023,data\gtsrb\Train\23\00023_00002_00023.png,23
00010_00042_00027,data\gtsrb\Train\10\00010_00042_00027.png,10
00017_00014_00029,data\gtsrb\Train\17\00017_00014_00029.png,17
00012_00016_00010,data\gtsrb\Train\12\00012_00016_00010.png,12
00018_00021_00011,data\gtsrb\Train\18\00018_00021_00011.png,18
00035_00015_00029,data\gtsrb\Train\35\00035_00015_00029.png,35
00005_00042_00014,data\gtsrb\Train\5\00005_00042_00014.png,5
00025_00009_00009,data\gtsrb\Train\25\00025_00009_00009.png,25
00003_00043_00018,data\gtsrb\Train\3\00003_00043_00018.png,3
00002_00056_00027,data\gtsrb\Train\2\00002_00056_00027.png,2
00010_00029_00010,data\gtsrb\Train\10\00010_00029_00010.png,10
00001_00021_00015,data\gtsrb\Train\1\00001_00021_00015.png,1
00002_00003_00004,data\gtsrb\Train\2\00002_00003_00004.png,2
00019_00006_00000,data\gtsrb\Train\19\00019_00006_00000.png,19
00001_00070_00007,data\gtsrb\Train\1\00001_00070_00007.png,1
00010_00025_00027,data\gtsrb\Train\10\00010_00025_00027.png,10
00010_00028_00011,data\gtsrb\Train\10\00010_00028_00011.png,10
00035_00003_00005,data\gtsrb\Train\35\00035_00003_00005.png,35
00010_00028_00025,data\gtsrb\Train\10\00010_00028_00025.png,10
00035_00029_00002,data\gtsrb\Train\35\00035_00029_00002.png,35
00010_00046_00014,data\gtsrb\Train\10\00010_00046_00014.png,10
00033_00008_00022,data\gtsrb\Train\33\00033_00008_00022.png,33
00012_00025_00023,data\gtsrb\Train\12\00012_00025_00023.png,12
00008_00008_00026,data\gtsrb\Train\8\00008_00008_00026.png,8
00012_00056_00020,data\gtsrb\Train\12\00012_00056_00020.png,12
00017_00022_00001,data\gtsrb\Train\17\00017_00022_00001.png,17
00004_00009_00029,data\gtsrb\Train\4\00004_00009_00029.png,4
00013_00046_00021,data\gtsrb\Train\13\00013_00046_00021.png,13
00035_00036_00024,data\gtsrb\Train\35\00035_00036_00024.png,35
00005_00023_00002,data\gtsrb\Train\5\00005_00023_00002.png,5
00010_00055_00016,data\gtsrb\Train\10\00010_00055_00016.png,10
00005_00001_00011,data\gtsrb\Train\5\00005_00001_00011.png,5
00019_00000_00016,data\gtsrb\Train\19\00019_00000_00016.png,19
00012_00006_00007,data\gtsrb\Train\12\00012_00006_00007.png,12
00014_00007_00000,data\gtsrb\Train\14\00014_00007_00000.png,14
00010_00025_00005,data\gtsrb\Train\10\00010_00025_00005.png,10
00009_00007_00001,data\gtsrb\Train\9\00009_00007_00001.png,9
00012_00040_00009,data\gtsrb\Train\12\00012_00040_00009.png,12
00017_00023_00026,data\gtsrb\Train\17\00017_00023_00026.png,17
00033_00004_00027,data\gtsrb\Train\33\00033_00004_00027.png,33
00025_00040_00010,data\gtsrb\Train\25\00025_00040_00010.png,25
00002_00022_00005,data\gtsrb\Train\2\00002_00022_00005.png,2
00038_00014_00028,data\gtsrb\Train\38\00038_00014_00028.png,38
00005_00056_00000,data\gtsrb\Train\5\00005_00056_00000.png,5
00038_00039_00022,data\gtsrb\Train\38\00038_00039_00022.png,38
00005_00030_00029,data\gtsrb\Train\5\00005_00030_00029.png,5
00001_00011_00024,data\gtsrb\Train\1\00001_00011_00024.png,1
00018_00024_00000,data\gtsrb\Train\18\00018_00024_00000.png,18
00041_00005_00010,data\gtsrb\Train\41\00041_00005_00010.png,41
00014_00017_00027,data\gtsrb\Train\14\00014_00017_00027.png,14
00004_00011_00029,data\gtsrb\Train\4\00004_00011_00029.png,4
00030_00010_00025,data\gtsrb\Train\30\00030_00010_00025.png,30
00012_00006_00000,data\gtsrb\Train\12\00012_00006_00000.png,12
00009_00042_00007,data\gtsrb\Train\9\00009_00042_00007.png,9
00010_00038_00016,data\gtsrb\Train\10\00010_00038_00016.png,10
00017_00006_00016,data\gtsrb\Train\17\00017_00006_00016.png,17
00011_00023_00007,data\gtsrb\Train\11\00011_00023_00007.png,11
00004_00016_00016,data\gtsrb\Train\4\00004_00016_00016.png,4
00009_00003_00019,data\gtsrb\Train\9\00009_00003_00019.png,9
00004_00046_00013,data\gtsrb\Train\4\00004_00046_00013.png,4
00010_00037_00025,data\gtsrb\Train\10\00010_00037_00025.png,10
00025_00042_00019,data\gtsrb\Train\25\00025_00042_00019.png,25
00009_00042_00004,data\gtsrb\Train\9\00009_00042_00004.png,9
00018_00027_00011,data\gtsrb\Train\18\00018_00027_00011.png,18
00013_00008_00019,data\gtsrb\Train\13\00013_00008_00019.png,13
00004_00036_00015,data\gtsrb\Train\4\00004_00036_00015.png,4
00031_00021_00018,data\gtsrb\Train\31\00031_00021_00018.png,31
00003_00021_00010,data\gtsrb\Train\3\00003_00021_00010.png,3
00002_00054_00011,data\gtsrb\Train\2\00002_00054_00011.png,2
00007_00016_00018,data\gtsrb\Train\7\00007_00016_00018.png,7
00038_00010_00006,data\gtsrb\Train\38\00038_00010_00006.png,38
00012_00067_00013,data\gtsrb\Train\12\00012_00067_00013.png,12
00003_00011_00002,data\gtsrb\Train\3\00003_00011_00002.png,3
00011_00043_00023,data\gtsrb\Train\11\00011_00043_00023.png,11
00010_00024_00026,data\gtsrb\Train\10\00010_00024_00026.png,10
00008_00034_00026,data\gtsrb\Train\8\00008_00034_00026.png,8
00026_00000_00000,data\gtsrb\Train\26\00026_00000_00000.png,26
00004_00003_00024,data\gtsrb\Train\4\00004_00003_00024.png,4
00036_00009_00022,data\gtsrb\Train\36\00036_00009_00022.png,36
00010_00015_00001,data\gtsrb\Train\10\00010_00015_00001.png,10
00033_00003_00019,data\gtsrb\Train\33\00033_00003_00019.png,33
00035_00002_00026,data\gtsrb\Train\35\00035_00002_00026.png,35
00012_00021_00010,data\gtsrb\Train\12\00012_00021_00010.png,12
00010_00039_00012,data\gtsrb\Train\10\00010_00039_00012.png,10
00008_00010_00012,data\gtsrb\Train\8\00008_00010_00012.png,8
00014_00019_00020,data\gtsrb\Train\14\00014_00019_00020.png,14
00009_00020_00010,data\gtsrb\Train\9\00009_00020_00010.png,9
00002_00014_00020,data\gtsrb\Train\2\00002_00014_00020.png,2
00001_00051_00003,data\gtsrb\Train\1\00001_00051_00003.png,1
00012_00002_00006,data\gtsrb\Train\12\00012_00002_00006.png,12
00004_00029_00027,data\gtsrb\Train\4\00004_00029_00027.png,4
00010_00060_00005,data\gtsrb\Train\10\00010_00060_00005.png,10
00018_00007_00028,data\gtsrb\Train\18\00018_00007_00028.png,18
00004_00009_00021,data\gtsrb\Train\4\00004_00009_00021.png,4
00030_00004_00029,data\gtsrb\Train\30\00030_00004_00029.png,30
00003_00034_00003,data\gtsrb\Train\3\00003_00034_00003.png,3
00030_00005_00002,data\gtsrb\Train\30\00030_00005_00002.png,30
00008_00004_00025,data\gtsrb\Train\8\00008_00004_00025.png,8
00004_00005_00001,data\gtsrb\Train\4\00004_00005_00001.png,4
00018_00026_00017,data\gtsrb\Train\18\00018_00026_00017.png,18
00012_00030_00016,data\gtsrb\Train\12\00012_00030_00016.png,12
00038_00027_00026,data\gtsrb\Train\38\00038_00027_00026.png,38
00028_00015_00003,data\gtsrb\Train\28\00028_00015_00003.png,28
00034_00003_00017,data\gtsrb\Train\34\00034_00003_00017.png,34
00018_00010_00002,data\gtsrb\Train\18\00018_00010_00002.png,18
00025_00044_00008,data\gtsrb\Train\25\00025_00044_00008.png,25
00038_00013_00017,data\gtsrb\Train\38\00038_00013_00017.png,38
00025_00026_00007,data\gtsrb\Train\25\00025_00026_00007.png,25
00005_00051_00006,data\gtsrb\Train\5\00005_00051_00006.png,5
00026_00009_00027,data\gtsrb\Train\26\00026_00009_00027.png,26
00029_00006_00013,data\gtsrb\Train\29\00029_00006_00013.png,29
00008_00002_00005,data\gtsrb\Train\8\00008_00002_00005.png,8
00018_00025_00004,data\gtsrb\Train\18\00018_00025_00004.png,18
00003_00014_00017,data\gtsrb\Train\3\00003_00014_00017.png,3
00009_00034_00028,data\gtsrb\Train\9\00009_00034_00028.png,9
00013_00051_00000,data\gtsrb\Train\13\00013_00051_00000.png,13
00013_00028_00001,data\gtsrb\Train\13\00013_00028_00001.png,13
00014_00012_00000,data\gtsrb\Train\14\00014_00012_00000.png,14
00002_00037_00008,data\gtsrb\Train\2\00002_00037_00008.png,2
00028_00000_00018,data\gtsrb\Train\28\00028_00000_00018.png,28
00031_00011_00020,data\gtsrb\Train\31\00031_00011_00020.png,31
00036_00010_00005,data\gtsrb\Train\36\00036_00010_00005.png,36
00011_00008_00010,data\gtsrb\Train\11\00011_00008_00010.png,11
00010_00026_00022,data\gtsrb\Train\10\00010_00026_00022.png,10
00009_00030_00007,data\gtsrb\Train\9\00009_00030_00007.png,9
00009_00031_00022,data\gtsrb\Train\9\00009_00031_00022.png,9
00023_00000_00012,data\gtsrb\Train\23\00023_00000_00012.png,23
00008_00030_00020,data\gtsrb\Train\8\00008_00030_00020.png,8
00018_00010_00021,data\gtsrb\Train\18\00018_00010_00021.png,18
00025_00003_00027,data\gtsrb\Train\25\00025_00003_00027.png,25
00029_00004_00024,data\gtsrb\Train\29\00029_00004_00024.png,29
00008_00014_00001,data\gtsrb\Train\8\00008_00014_00001.png,8
00012_00052_00015,data\gtsrb\Train\12\00012_00052_00015.png,12
00002_00019_00013,data\gtsrb\Train\2\00002_00019_00013.png,2
00012_00065_00029,data\gtsrb\Train\12\00012_00065_00029.png,12
00031_00009_00007,data\gtsrb\Train\31\00031_00009_00007.png,31
00007_00047_00014,data\gtsrb\Train\7\00007_00047_00014.png,7
00034_00005_00010,data\gtsrb\Train\34\00034_00005_00010.png,34
00002_00066_00016,data\gtsrb\Train\2\00002_00066_00016.png,2
00023_00011_00023,data\gtsrb\Train\23\00023_00011_00023.png,23
00005_00050_00017,data\gtsrb\Train\5\00005_00050_00017.png,5
00017_00032_00010,data\gtsrb\Train\17\00017_00032_00010.png,17
00002_00035_00021,data\gtsrb\Train\2\00002_00035_00021.png,2
00038_00065_00014,data\gtsrb\Train\38\00038_00065_00014.png,38
00025_00043_00020,data\gtsrb\Train\25\00025_00043_00020.png,25
00021_00004_00006,data\gtsrb\Train\21\00021_00004_00006.png,21
00037_00002_00003,data\gtsrb\Train\37\00037_00002_00003.png,37
00015_00011_00029,data\gtsrb\Train\15\00015_00011_00029.png,15
00004_00039_00023,data\gtsrb\Train\4\00004_00039_00023.png,4
00007_00044_00013,data\gtsrb\Train\7\00007_00044_00013.png,7
00038_00031_00028,data\gtsrb\Train\38\00038_00031_00028.png,38
00002_00067_00014,data\gtsrb\Train\2\00002_00067_00014.png,2
00014_00002_00022,data\gtsrb\Train\14\00014_00002_00022.png,14
00004_00022_00015,data\gtsrb\Train\4\00004_00022_00015.png,4
00012_00019_00001,data\gtsrb\Train\12\00012_00019_00001.png,12
00031_00011_00010,data\gtsrb\Train\31\00031_00011_00010.png,31
00022_00001_00001,data\gtsrb\Train\22\00022_00001_00001.png,22
00012_00062_00020,data\gtsrb\Train\12\00012_00062_00020.png,12
00001_00040_00026,data\gtsrb\Train\1\00001_00040_00026.png,1
00013_00029_00003,data\gtsrb\Train\13\00013_00029_00003.png,13
00033_00011_00000,data\gtsrb\Train\33\00033_00011_00000.png,33
00021_00007_00002,data\gtsrb\Train\21\00021_00007_00002.png,21
00024_00003_00023,data\gtsrb\Train\24\00024_00003_00023.png,24
00004_00051_00000,data\gtsrb\Train\4\00004_00051_00000.png,4
00007_00029_00025,data\gtsrb\Train\7\00007_00029_00025.png,7
00013_00046_00026,data\gtsrb\Train\13\00013_00046_00026.png,13
00007_00030_00027,data\gtsrb\Train\7\00007_00030_00027.png,7
00004_00025_00019,data\gtsrb\Train\4\00004_00025_00019.png,4
00038_00035_00028,data\gtsrb\Train\38\00038_00035_00028.png,38
00015_00002_00025,data\gtsrb\Train\15\00015_00002_00025.png,15
00006_00002_00016,data\gtsrb\Train\6\00006_00002_00016.png,6
00010_00023_00025,data\gtsrb\Train\10\00010_00023_00025.png,10
00027_00002_00020,data\gtsrb\Train\27\00027_00002_00020.png,27
00038_00041_00028,data\gtsrb\Train\38\00038_00041_00028.png,38
00018_00001_00013,data\gtsrb\Train\18\00018_00001_00013.png,18
00015_00009_00008,data\gtsrb\Train\15\00015_00009_00008.png,15
00008_00046_00002,data\gtsrb\Train\8\00008_00046_00002.png,8
00026_00011_00009,data\gtsrb\Train\26\00026_00011_00009.png,26
00007_00024_00021,data\gtsrb\Train\7\00007_00024_00021.png,7
00004_00005_00027,data\gtsrb\Train\4\00004_00005_00027.png,4
00008_00017_00008,data\gtsrb\Train\8\00008_00017_00008.png,8
00018_00028_00024,data\gtsrb\Train\18\00018_00028_00024.png,18
00029_00003_00028,data\gtsrb\Train\29\00029_00003_00028.png,29
00013_00036_00025,data\gtsrb\Train\13\00013_00036_00025.png,13
00017_00020_00025,data\gtsrb\Train\17\00017_00020_00025.png,17
00013_00014_00012,data\gtsrb\Train\13\00013_00014_00012.png,13
00002_00040_00020,data\gtsrb\Train\2\00002_00040_00020.png,2
00017_00020_00005,data\gtsrb\Train\17\00017_00020_00005.png,17
00018_00025_00019,data\gtsrb\Train\18\00018_00025_00019.png,18
00002_00062_00009,data\gtsrb\Train\2\00002_00062_00009.png,2
00011_00039_00005,data\gtsrb\Train\11\00011_00039_00005.png,11
00010_00050_00026,data\gtsrb\Train\10\00010_00050_00026.png,10
00009_00029_00024,data\gtsrb\Train\9\00009_00029_00024.png,9
00008_00021_00023,data\gtsrb\Train\8\00008_00021_00023.png,8
00005_00035_00000,data\gtsrb\Train\5\00005_00035_00000.png,5
00009_00034_00016,data\gtsrb\Train\9\00009_00034_00016.png,9
00041_00006_00009,data\gtsrb\Train\41\00041_00006_00009.png,41
00001_00034_00024,data\gtsrb\Train\1\00001_00034_00024.png,1
00025_00032_00010,data\gtsrb\Train\25\00025_00032_00010.png,25
00035_00002_00005,data\gtsrb\Train\35\00035_00002_00005.png,35
00021_00001_00013,data\gtsrb\Train\21\00021_00001_00013.png,21
00026_00004_00011,data\gtsrb\Train\26\00026_00004_00011.png,26
00001_00023_00019,data\gtsrb\Train\1\00001_00023_00019.png,1
00005_00012_00022,data\gtsrb\Train\5\00005_00012_00022.png,5
00020_00011_00014,data\gtsrb\Train\20\00020_00011_00014.png,20
00036_00003_00011,data\gtsrb\Train\36\00036_00003_00011.png,36
00006_00000_00017,data\gtsrb\Train\6\00006_00000_00017.png,6
00026_00002_00011,data\gtsrb\Train\26\00026_00002_00011.png,26
00038_00061_00020,data\gtsrb\Train\38\00038_00061_00020.png,38
00012_00005_00004,data\gtsrb\Train\12\00012_00005_00004.png,12
00001_00018_00024,data\gtsrb\Train\1\00001_00018_00024.png,1
00009_00017_00007,data\gtsrb\Train\9\00009_00017_00007.png,9
00012_00001_00029,data\gtsrb\Train\12\00012_00001_00029.png,12
00027_00002_00006,data\gtsrb\Train\27\00027_00002_00006.png,27
00010_00056_00014,data\gtsrb\Train\10\00010_00056_00014.png,10
00002_00063_00022,data\gtsrb\Train\2\00002_00063_00022.png,2
00038_00017_00029,data\gtsrb\Train\38\00038_00017_00029.png,38
00006_00010_00014,data\gtsrb\Train\6\00006_00010_00014.png,6
00004_00000_00021,data\gtsrb\Train\4\00004_00000_00021.png,4
00026_00013_00000,data\gtsrb\Train\26\00026_00013_00000.png,26
00013_00066_00017,data\gtsrb\Train\13\00013_00066_00017.png,13
00027_00000_00013,data\gtsrb\Train\27\00027_00000_00013.png,27
00025_00012_00010,data\gtsrb\Train\25\00025_00012_00010.png,25
00004_00057_00011,data\gtsrb\Train\4\00004_00057_00011.png,4
00011_00010_00028,data\gtsrb\Train\11\00011_00010_00028.png,11
00038_00020_00028,data\gtsrb\Train\38\00038_00020_00028.png,38
00013_00065_00018,data\gtsrb\Train\13\00013_00065_00018.png,13
00004_00004_00007,data\gtsrb\Train\4\00004_00004_00007.png,4
00039_00001_00023,data\gtsrb\Train\39\00039_00001_00023.png,39
00007_00047_00003,data\gtsrb\Train\7\00007_00047_00003.png,7
00012_00024_00018,data\gtsrb\Train\12\00012_00024_00018.png,12
00027_00005_00020,data\gtsrb\Train\27\00027_00005_00020.png,27
00040_00001_00003,data\gtsrb\Train\40\00040_00001_00003.png,40
00035_00031_00001,data\gtsrb\Train\35\00035_00031_00001.png,35
00025_00042_00024,data\gtsrb\Train\25\00025_00042_00024.png,25
00017_00014_00010,data\gtsrb\Train\17\00017_00014_00010.png,17
00014_00000_00004,data\gtsrb\Train\14\00014_00000_00004.png,14
00013_00021_00019,data\gtsrb\Train\13\00013_00021_00019.png,13
00026_00000_00024,data\gtsrb\Train\26\00026_00000_00024.png,26
00012_00067_00010,data\gtsrb\Train\12\00012_00067_00010.png,12
00002_00010_00020,data\gtsrb\Train\2\00002_00010_00020.png,2
00012_00049_00016,data\gtsrb\Train\12\00012_00049_00016.png,12
00013_00016_00007,data\gtsrb\Train\13\00013_00016_00007.png,13
00001_00003_00015,data\gtsrb\Train\1\00001_00003_00015.png,1
00004_00012_00001,data\gtsrb\Train\4\00004_00012_00001.png,4
00004_00047_00008,data\gtsrb\Train\4\00004_00047_00008.png,4
00025_00047_00012,data\gtsrb\Train\25\00025_00047_00012.png,25
00011_00039_00000,data\gtsrb\Train\11\00011_00039_00000.png,11
00039_00003_00001,data\gtsrb\Train\39\00039_00003_00001.png,39
00038_00058_00024,data\gtsrb\Train\38\00038_00058_00024.png,38
00017_00004_00001,data\gtsrb\Train\17\00017_00004_00001.png,17
00009_00001_00017,data\gtsrb\Train\9\00009_00001_00017.png,9
00001_00068_00000,data\gtsrb\Train\1\00001_00068_00000.png,1
00005_00012_00008,data\gtsrb\Train\5\00005_00012_00008.png,5
00014_00004_00013,data\gtsrb\Train\14\00014_00004_00013.png,14
00007_00026_00000,data\gtsrb\Train\7\00007_00026_00000.png,7
00025_00029_00000,data\gtsrb\Train\25\00025_00029_00000.png,25
00009_00034_00001,data\gtsrb\Train\9\00009_00034_00001.png,9
00037_00006_00014,data\gtsrb\Train\37\00037_00006_00014.png,37
00005_00057_00025,data\gtsrb\Train\5\00005_00057_00025.png,5
00004_00047_00029,data\gtsrb\Train\4\00004_00047_00029.png,4
00015_00018_00004,data\gtsrb\Train\15\00015_00018_00004.png,15
00004_00026_00011,data\gtsrb\Train\4\00004_00026_00011.png,4
00038_00031_00023,data\gtsrb\Train\38\00038_00031_00023.png,38
00003_00044_00019,data\gtsrb\Train\3\00003_00044_00019.png,3
00016_00010_00025,data\gtsrb\Train\16\00016_00010_00025.png,16
00006_00010_00017,data\gtsrb\Train\6\00006_00010_00017.png,6
00035_00020_00004,data\gtsrb\Train\35\00035_00020_00004.png,35
00018_00004_00023,data\gtsrb\Train\18\00018_00004_00023.png,18
00020_00004_00025,data\gtsrb\Train\20\00020_00004_00025.png,20
00003_00007_00017,data\gtsrb\Train\3\00003_00007_00017.png,3
00008_00020_00004,data\gtsrb\Train\8\00008_00020_00004.png,8
00018_00005_00019,data\gtsrb\Train\18\00018_00005_00019.png,18
00008_00016_00013,data\gtsrb\Train\8\00008_00016_00013.png,8
00042_00001_00016,data\gtsrb\Train\42\00042_00001_00016.png,42
00009_00030_00001,data\gtsrb\Train\9\00009_00030_00001.png,9
00002_00042_00011,data\gtsrb\Train\2\00002_00042_00011.png,2
00013_00045_00011,data\gtsrb\Train\13\00013_00045_00011.png,13
00004_00016_00009,data\gtsrb\Train\4\00004_00016_00009.png,4
00033_00004_00001,data\gtsrb\Train\33\00033_00004_00001.png,33
00013_00055_00001,data\gtsrb\Train\13\00013_00055_00001.png,13
00010_00017_00013,data\gtsrb\Train\10\00010_00017_00013.png,10
00017_00007_00018,data\gtsrb\Train\17\00017_00007_00018.png,17
00003_00006_00023,data\gtsrb\Train\3\00003_00006_00023.png,3
00014_00010_00018,data\gtsrb\Train\14\00014_00010_00018.png,14
00018_00032_00025,data\gtsrb\Train\18\00018_00032_00025.png,18
00002_00027_00008,data\gtsrb\Train\2\00002_00027_00008.png,2
00014_00013_00013,data\gtsrb\Train\14\00014_00013_00013.png,14
00008_00005_00001,data\gtsrb\Train\8\00008_00005_00001.png,8
00025_00026_00028,data\gtsrb\Train\25\00025_00026_00028.png,25
00012_00013_00004,data\gtsrb\Train\12\00012_00013_00004.png,12
00002_00069_00004,data\gtsrb\Train\2\00002_00069_00004.png,2
00005_00004_00022,data\gtsrb\Train\5\00005_00004_00022.png,5
00004_00035_00004,data\gtsrb\Train\4\00004_00035_00004.png,4
00023_00007_00002,data\gtsrb\Train\23\00023_00007_00002.png,23
